XX{現金及約當現金}為{$ 140,641,550}。YY{現金及約當現金}為{$ 180,649,140}。
XX{按公允價值衡量之金融資產-流動}為{$ 431,180}。YY{按公允價值衡量之金融資產-流動}為{$ 674,821}。
XX{按公允價值衡量之金融資產-流動}為{$ 4,707,310}。YY{按公允價值衡量之金融資產-流動}為{$ 2,446,101}。
XX{按攤銷後成本衡量之金融資產-流動}為{$ 71,492}。YY{按攤銷後成本衡量之金融資產-流動}為{$ 896,103}。
XX{合約資產-流動}為{$ 563,741}。YY{合約資產-流動}為{$ 384,060}。
XX{應收票據}為{$ 615}。YY{應收票據}為{無}。
XX{應收帳款淨額}為{$ 30,404,235}。YY{應收帳款淨額}為{$ 43,586,419}。
XX{應收帳款-關係人淨額}為{$ 700,266}。YY{應收帳款-關係人淨額}為{$ 1,255,658}。
XX{其他應收款}為{$ 2,182,882}。YY{其他應收款}為{$ 1,615,226}。
XX{本期所得稅資產}為{$ 87,405}。YY{本期所得稅資產}為{$ 18,930}。
XX{存貨淨額}為{$ 36,560,576}。YY{存貨淨額}為{$ 30,101,698}。
XX{預付款項}為{$ 1,943,208}。YY{預付款項}為{$ 2,573,697}。
XX{其他流動資產}為{$ 985,762}。YY{其他流動資產}為{$ 2,742,785}。
XX{流動資產合計}為{$ 219,280,222}。YY{流動資產合計}為{$ 266,944,638}。
XX{按公允價值衡量之金融資產-非流動}為{$ 16,156,040}。YY{按公允價值衡量之金融資產-非流動}為{$ 18,662,043}。
XX{按公允價值衡量之金融資產-非流動}為{$ 11,291,959}。YY{按公允價值衡量之金融資產-非流動}為{$ 10,347,617}。
XX{按攤銷後成本衡量之金融資產-非流動}為{$ 278,891}。YY{按攤銷後成本衡量之金融資產-非流動}為{$ 16,277}。
XX{採用權益法之投資}為{$ 43,163,604}。YY{採用權益法之投資}為{$ 32,909,670}。
XX{不動產、廠房及設備}為{$ 212,366,797}。YY{不動產、廠房及設備}為{$ 149,118,651}。
XX{使用權資產}為{$ 7,278,723}。YY{使用權資產}為{$ 7,902,894}。
XX{無形資產}為{$ 3,982,402}。YY{無形資產}為{$ 4,200,891}。
XX{遞延所得稅資產}為{$ 5,081,978}。YY{遞延所得稅資產}為{$ 5,127,554}。
XX{預付設備款}為{$ 20,557,370}。YY{預付設備款}為{$ 16,427,894}。
XX{存出保證金}為{$ 2,733,780}。YY{存出保證金}為{$ 2,757,248}。
XX{其他非流動資產-其他}為{$ 5,099,190}。YY{其他非流動資產-其他}為{$ 4,978,543}。
XX{非流動資產合計}為{$ 327,990,734}。YY{非流動資產合計}為{$ 252,449,282}。
XX{資產總計}為{$ 547,270,956}。YY{資產總計}為{$ 519,393,920}。
