聯華電子股份有限公司及子公司合併財務報告附註(續)
(金額除另予註明外,均以新臺幣千元為單位)

4. 其他重大會計政策說明

本合併財務報告所採用之會計政策與110年度合併財務報告相同，重大會計政策之彙總說明請參閱本公司及子公司110年度之合併財務報告附註四。

5. 重大會計判斷、估計及假設不確定性之主要來源

本合併財務報告所採用之重大會計判斷、估計及假設不確定性之主要來源與110年度合併財務報告相同，請參閱本公司及子公司110年度之合併財務報告附註五。

6. 重要會計科目之說明

1. 現金及約當現金

- 111年3月31日：
    - 庫存現金及零用金：5,747
    - 支票及活期存款：44,032,805
    - 定期存款：119,539,330
    - 附買回條件政府公債及票券：8,592,349
    - 合計：172,170,231

- 110年12月31日：
    - 庫存現金及零用金：5,684
    - 支票及活期存款：33,738,883
    - 定期存款：88,876,572
    - 附買回條件政府公債及票券：10,000,992
    - 合計：132,622,131

- 110年3月31日：
    - 庫存現金及零用金：5,828
    - 支票及活期存款：26,821,148
    - 定期存款：72,125,891
    - 附買回條件政府公債及票券：8,332,310
    - 合計：107,285,177


2. 透過損益按公允價值衡量之金融資產

- 111年3月31日：
    - 強制透過損益按公允價值衡量之金融資產：
        - 普通股股票：14,172,917
        - 特別股股票：2,956,034
        - 基金：4,778,955
        - 可轉換公司債：424,265
        - 遠期外匯合約：235
        - 合計：22,332,406
    - 流動：775,035
    - 非流動：21,557,371
    - 合計：22,332,406

- 110年12月31日：
    - 強制透過損益按公允價值衡量之金融資產：
        - 普通股股票：13,289,438
        - 特別股股票：2,602,622
        - 基金：3,862,932
        - 可轉換公司債：691,303
        - 遠期外匯合約：-
        - 合計：20,446,295
    - 流動：945,021
    - 非流動：19,501,274
    - 合計：20,446,295

- 110年3月31日：
    - 強制透過損益按公允價值衡量之金融資產：
        - 普通股股票：11,034,769
        - 特別股股票：3,166,166
        - 基金：2,998,337
        - 可轉換公司債：485,467
        - 遠期外匯合約：-
        - 合計：17,684,739
    - 流動：1,031,863
    - 非流動：16,652,876
    - 合計：17,684,739

本公司之子公司-宏誠創業投資(股)公司於110年11月5日與頎邦科技(股)公司(頎邦)進行股份交換，受讓頎邦新發行之普通股13,989千股，相關資訊請參閱附註六、18。
